Label,total_relevance,20180401-20180501,20180501-20180601,20190901-20191001,20191001-20191101,20220101-20220201,20220201-20220301,id
Treaties of Tilsit,43,4618,4665,3807,4743,5660,5879,Treaties of Tilsit
Treaty of Tilsit,43,753,724,704,745,830,836,Treaty of Tilsit
Federal Agency for Tourism (Russia),43,368,443,529,396,548,492,Federal Agency for Tourism (Russia)
Education in Russia,43,10181,10896,10243,11247,9763,11598,Education in Russia
Great Northern War plague outbreak,43,1354,1099,1341,1352,1975,1873,Great Northern War plague outbreak
Anna Karenina,43,69007,71843,78440,85064,96591,98134,Anna Karenina
Russian conquest of Siberia,43,7609,7928,7236,8482,12861,17271,Russian conquest of Siberia
First Azarov Government,42,292,251,313,312,372,973,First Azarov Government
Executed Renaissance,42,686,634,1231,778,1615,2473,Executed Renaissance
Mykola Skrypnyk,42,813,983,660,689,870,1858,Mykola Skrypnyk
Martial law in Ukraine,42,0,0,1248,1080,1938,113866,Martial law in Ukraine
Khmelnytsky Uprising,42,6520,7580,6162,7140,10432,22705,Khmelnytsky Uprising
Lesser Poland,42,5067,6617,4891,5141,6489,7705,Lesser Poland
RIA Novosti,42,6503,5535,6035,7348,7036,25605,RIA Novosti
National delimitation in the Soviet Union,42,2877,2791,2631,2838,4577,6355,National delimitation in the Soviet Union
Mikhail Kasyanov,42,3964,2999,2881,3911,5022,30379,Mikhail Kasyanov
Novichok agent,42,223430,45244,11899,13544,50037,25625,Novichok agent
Georgi Plekhanov,42,3627,3993,4075,5339,5148,4965,Georgi Plekhanov
Cinema of Russia,42,5369,5204,4521,5730,4194,4588,Cinema of Russia
Lermontov,42,367,358,426,389,463,471,Lermontov
Grande ArmÃ©e,42,14115,13180,14692,15736,17287,16510,Grande ArmÃ©e
Mikhail Lermontov,42,7769,7844,7339,9589,9172,9529,Mikhail Lermontov
Baltic Germans,42,8793,8391,9696,10725,14543,14281,Baltic Germans
Second Partition of Poland,42,2704,2819,2896,3150,4263,5053,Second Partition of Poland
Karl Marx,42,271414,483704,238392,243748,248220,262287,Karl Marx
Kolomyia,41,2120,2094,2135,2151,2824,5812,Kolomyia
Ukraine International Airlines,41,16466,18025,14144,14100,11245,29770,Ukraine International Airlines
Chernobyl Exclusion Zone,41,23137,21512,48299,45006,43027,135310,Chernobyl Exclusion Zone
All-Ukrainian Congress of Soviets,41,252,219,229,265,405,1161,All-Ukrainian Congress of Soviets
Eastern Partnership,41,4379,4393,4381,4454,5018,10758,Eastern Partnership
Druzhba pipeline,41,2501,2147,2797,2936,4280,27939,Druzhba pipeline
Soviet Armed Forces,41,13060,12244,11766,12774,17425,24604,Soviet Armed Forces
Victory Day (Eastern Front),41,16943,96034,8048,8160,11402,19492,Victory Day (Eastern Front)
Red Army,41,51366,52642,39973,43821,64099,104253,Red Army
Uzbekistan,41,134871,132310,145695,156218,213341,210147,Uzbekistan
Sakha,41,363,344,563,471,55399,70560,Sakha
Armenia,41,358731,313533,199444,247355,214475,256871,Armenia
Sakha Republic,41,26020,30524,13230,15275,11746,12943,Sakha Republic
Norilsk,41,24850,24181,20100,40603,31189,30616,Norilsk
Russian Provisional Government,41,16654,15885,12829,16033,28597,36544,Russian Provisional Government
Russian cultural property law,41,91,131,125,188,318,462,Russian cultural property law
Brusilov Offensive,41,11845,12361,9912,11397,4123,4141,Brusilov Offensive
Sayfo,41,17,12,21,14,8122,7979,Sayfo
Latvian Soviet Socialist Republic,41,5245,5023,5602,6320,7619,11588,Latvian Soviet Socialist Republic
Narodniks,41,3216,3241,3841,4317,6672,6821,Narodniks
Russo-Persian War (1722â1723),41,1115,993,1193,1405,2298,2954,Russo-Persian War (1722â1723)
Aleksandr Kuprin,41,1399,1202,1188,1254,1736,1592,Aleksandr Kuprin
Narodnik,41,845,863,707,790,883,887,Narodnik
Boryspil International Airport,40,14516,19419,14205,14873,16100,79882,Boryspil International Airport
Coal in Ukraine,40,588,548,617,750,1291,5389,Coal in Ukraine
Pavlo Skoropadskyi,40,2646,2308,1678,1953,3900,8689,Pavlo Skoropadskyi
Soviet invasion of Poland,40,16100,16306,43127,16156,20063,50983,Soviet invasion of Poland
History of the Soviet Union (1927â53),40,3229,2089,1135,1188,1438,2426,History of the Soviet Union (1927â53)
Rus' people,40,15111,14844,14644,22090,36666,74473,Rus' people
Carl XII,40,25670,29982,23829,27828,30600,32359,Carl XII
Opposition to Vladimir Putin in Russia,40,1760,1884,2585,2111,5303,22596,Opposition to Vladimir Putin in Russia
Russian architecture,40,7135,7351,6042,7195,6937,9176,Russian architecture
All-Russian Congress of Soviets,40,2518,2239,2645,2410,2985,3673,All-Russian Congress of Soviets
Imperialism,40,66782,70486,49995,60631,48743,62987,Imperialism
Dacha,40,23769,16756,13504,15133,20768,51951,Dacha
Igor Stravinsky,40,50445,50244,36460,39691,37586,36974,Igor Stravinsky
Azerbaijan,40,339547,216443,190689,208386,217427,295461,Azerbaijan
Volga River,40,37252,37818,33347,40340,41996,57756,Volga River
Elections in Russia,40,6930,6085,10872,7768,7829,48492,Elections in Russia
Neo-Byzantine architecture in the Russian Empire,40,1119,1165,869,994,1155,1219,Neo-Byzantine architecture in the Russian Empire
Triple Entente,40,40049,34759,21945,27715,29919,39281,Triple Entente
Maria Theresa,40,42051,43655,42579,54022,70695,55516,Maria Theresa
Russian tea culture,40,4005,3758,3975,4548,5756,5192,Russian tea culture
Alexander Pushkin,40,41513,58094,39181,41606,50616,69513,Alexander Pushkin
Nivkhs,40,621,457,366,350,445,481,Nivkhs
Leo Tolstoy,40,103023,105982,110708,104411,135849,129760,Leo Tolstoy
